base_polo_id,name,sesai_id,city_name,city_sesai_id,created_at,updated_at
170,"ANDORINHA",48669,"MANAQUIRI",130255,"2015-11-06 00:00:00","2015-11-06 00:00:00"
173,"SETEMÃ",47132,"NOVO ARIPUANA",130330,"2015-11-06 00:00:00","2015-11-06 00:00:00"
171,"SANTO ANTÔNIO",49299,"MANACAPURU",130250,"2015-11-06 00:00:00","2015-11-06 00:00:00"
179,"SISSAIMA",48307,"CAREIRO DA VARZEA",130115,"2015-11-06 00:00:00","2015-11-06 00:00:00"
173,"NOVA ESPERANÇA",48126,"BORBA",130080,"2015-11-06 00:00:00","2015-11-06 00:00:00"
172,"VERA CRUZ",47082,"MANICORE",130270,"2015-11-06 00:00:00","2015-11-06 00:00:00"
177,"BOA ESPERANÇA",49415,"MANAUS",130260,"2015-11-06 00:00:00","2015-11-06 00:00:00"
171,"TURURUKARI-UKA (UBIM)",48594,"MANACAPURU",130250,"2015-11-06 00:00:00","2015-11-06 00:00:00"
184,"EWARE (ILHA DO CAMALEÃO)",52174,"ANAMA",130008,"2015-11-06 00:00:00","2015-11-06 00:00:00"
183,"MARINHEIRO",49420,"CAREIRO",130110,"2015-11-06 00:00:00","2015-11-06 00:00:00"
